#name ra dec peak peak_sigma pol_flux_density pol_flux_density_sigma pol_angle pol_angle_sigma
AT20GJ001101-261233 2.755 -26.209 642 42 8 1 1.2 -36
AT20GJ001140-143404 2.918 -14.568 154 7 <6 - <3.9 -
AT20GJ001146-844319 2.943 -84.722 274 13 <8 - <2.8 -
AT20GJ001150-870625 2.961 -87.107 57 3 <10 - <17.3 -
AT20GJ001152-410545 2.968 -41.096 132 7 <7 - <5.7 -
AT20GJ001215-384618 3.063 -38.772 80 4 <6 - <7.5 -
AT20GJ001259-395426 3.250 -39.907 1609 73 66 2 4.1 -89
AT20GJ001317-561025 3.324 -56.174 48 3 <7 - <13.9 -
AT20GJ001320-151347 3.336 -15.230 189 21 <7 - <4.0 -
AT20GJ001324-500514 3.351 -50.087 71 3 <6 - <8.5 -
AT20GJ001354-042352 3.476 -4.398 550 25 29 2 5.3 -43
AT20GJ001427-563822 3.613 -56.640 134 7 <7 - <5.6 -
AT20GJ001434-200031 3.644 -20.009 118 8 <7 - <5.6 -
AT20GJ001502-181250 3.761 -18.214 355 23 7 2 2.1 -54
AT20GJ001534-180725 3.893 -18.124 98 6 <8 - <8.0 -
AT20GJ001552-451103 3.970 -45.184 70 3 <6 - <8.5 -
AT20GJ001600-192920 4.001 -19.489 42 3 <7 - <17.1 -
AT20GJ001601-631009 4.005 -63.169 67 3 6 1 11.4 14
AT20GJ001605-234352 4.024 -23.731 68 4 <6 - <8.8 -
AT20GJ001611-001511 4.046 -0.253 265 13 <7 - <2.6 -
AT20GJ001619-143010 4.083 -14.503 109 6 <6 - <5.8 -
AT20GJ001625-141031 4.107 -14.175 89 5 <7 - <7.4 -
AT20GJ001707-125623 4.283 -12.940 75 4 10 3 13.0 20
AT20GJ001709-065033 4.289 -6.842 88 5 <8 - <8.9 -
AT20GJ001735-051241 4.399 -5.212 186 9 <7 - <3.5 -
AT20GJ001752-023618 4.468 -2.605 73 4 <7 - <9.0 -
AT20GJ001759-274821 4.496 -27.806 275 18 <6 - <2.2 -
AT20GJ001822-764438 4.592 -76.744 71 4 <8 - <10.9 -
AT20GJ001833-420201 4.638 -42.034 117 5 <6 - <5.1 -
AT20GJ001834-062834 4.642 -6.476 62 3 <9 - <14.6 -
AT20GJ001849-511455 4.705 -51.249 154 5 <7 - <7.4 -
AT20GJ001851-124232 4.714 -12.709 141 7 8 2 5.4 83
AT20GJ001917-010358 4.823 -1.066 74 4 <6 - <8.1 -
AT20GJ001922-220528 4.845 -22.091 99 6 <7 - <7.0 -
AT20GJ001924-295255 4.853 -29.882 61 4 <7 - <12.2 -
AT20GJ001926-564141 4.861 -56.695 72 4 <8 - <11.3 -
AT20GJ001932-422621 4.884 -42.439 86 4 <6 - <7.0 -
AT20GJ001942-303119 4.929 -30.522 437 20 <9 - <2.1 -
AT20GJ001948-173446 4.952 -17.580 170 11 8 2 4.7 -24
AT20GJ001956-625306 4.986 -62.885 42 2 <6 - <14.4 -
AT20GJ002022-484708 5.094 -48.786 114 5 <7 - <6.0 -
AT20GJ002051-220109 5.216 -22.019 56 4 <6 - <10.7 -
AT20GJ002100-245107 5.251 -24.852 43 3 <6 - <14.0 -
AT20GJ002233-515316 5.639 -51.888 77 9 <6 - <7.8 -
AT20GJ002301-565005 5.757 -56.835 99 5 <7 - <7.0 -
AT20GJ002307-250210 5.780 -25.036 75 7 <7 - <11.0 -
AT20GJ002308-650655 5.785 -65.115 52 2 <6 - <11.5 -
AT20GJ002316-142257 5.820 -14.383 61 3 <6 - <9.8 -
AT20GJ002319-074449 5.829 -7.747 46 3 <6 - <13.1 -
AT20GJ002321-604612 5.838 -60.770 47 2 <6 - <12.7 -
AT20GJ002326-144701 5.860 -14.784 83 4 <6 - <7.2 -
AT20GJ002336-025307 5.901 -2.885 59 3 <6 - <10.2 -
AT20GJ002343-593032 5.929 -59.509 85 5 <8 - <9.5 -
AT20GJ002400-081109 6.003 -8.186 265 13 <6 - <2.3 -
AT20GJ002406-682055 6.028 -68.349 179 9 <6 - <3.4 -
AT20GJ002408-104236 6.036 -10.710 43 3 <6 - <13.8 -
AT20GJ002430-292853 6.125 -29.482 126 8 <6 - <4.8 -
AT20GJ002442-420203 6.179 -42.034 287 14 <7 - <2.3 -
AT20GJ002445-041201 6.192 -4.200 137 7 <6 - <4.4 -
AT20GJ002446-094149 6.194 -9.697 44 2 <6 - <13.8 -
AT20GJ002511-542739 6.296 -54.461 59 3 <6 - <10.1 -
AT20GJ002514-094200 6.310 -9.700 61 3 <6 - <9.9 -
AT20GJ002516-602841 6.317 -60.478 52 3 <6 - <11.5 -
AT20GJ002524-222747 6.351 -22.463 313 20 <6 - <1.9 -
AT20GJ002545-480355 6.441 -48.065 174 9 <6 - <3.5 -
AT20GJ002549-260212 6.455 -26.037 984 62 <10 - <1.0 -
AT20GJ002613-200456 6.558 -20.082 87 7 <6 - <9.2 -
AT20GJ002616-351249 6.568 -35.214 1123 43 <12 - <1.1 -
AT20GJ002628-740020 6.618 -74.006 84 4 <9 - <10.4 -
AT20GJ002631-084238 6.632 -8.711 41 2 <7 - <16.3 -
AT20GJ002640-491843 6.669 -49.312 55 3 <6 - <12.2 -
AT20GJ002648-155654 6.701 -15.948 63 7 <6 - <9.5 -
AT20GJ002651-111252 6.715 -11.214 100 5 <6 - <6.0 -
AT20GJ002705-050350 6.771 -5.064 58 3 <7 - <11.5 -
AT20GJ002736-540907 6.903 -54.152 43 2 <6 - <14.8 -
AT20GJ002741-660351 6.925 -66.064 58 3 <6 - <10.3 -
AT20GJ002831-125053 7.133 -12.848 125 6 <6 - <4.8 -
AT20GJ002841-704516 7.175 -70.754 260 13 <9 - <3.3 -
AT20GJ002847-034435 7.198 -3.743 65 3 <6 - <9.2 -
AT20GJ002901-011341 7.254 -1.228 207 9 <6 - <2.9 -
AT20GJ002937-044021 7.407 -4.673 73 4 <6 - <8.2 -
AT20GJ003007-000007 7.533 -0.002 77 4 <6 - <8.2 -
AT20GJ003017-422446 7.573 -42.413 478 21 <6 - <1.3 -
AT20GJ003031-021156 7.633 -2.199 297 13 <6 - <2.1 -
AT20GJ003033-581914 7.641 -58.321 51 3 <6 - <12.3 -
AT20GJ003035-510313 7.646 -51.054 60 3 <6 - <10.0 -
AT20GJ003128-410816 7.867 -41.138 92 4 <6 - <6.5 -
AT20GJ003134-514325 7.893 -51.724 78 4 <10 - <12.3 -
AT20GJ003156-142618 7.985 -14.439 103 5 <6 - <5.8 -
AT20GJ003207-154132 8.031 -15.692 109 7 <8 - <7.2 -
AT20GJ003229-023219 8.124 -2.539 52 3 <6 - <11.6 -
AT20GJ003233-284920 8.138 -28.822 122 8 <6 - <4.9 -
AT20GJ003307-042931 8.280 -4.492 40 2 <6 - <14.9 -
AT20GJ003347-423614 8.450 -42.604 243 12 9 2 3.9 47
AT20GJ003354-073003 8.478 -7.501 66 3 <6 - <9.2 -
AT20GJ003358-652616 8.493 -65.438 54 2 <6 - <11.1 -
AT20GJ003404-411618 8.518 -41.272 283 14 <6 - <2.1 -
AT20GJ003444-005413 8.684 -0.904 101 5 <6 - <5.9 -
AT20GJ003454-230334 8.728 -23.060 108 7 <6 - <5.5 -
AT20GJ003504-141608 8.770 -14.269 55 3 <6 - <10.9 -
AT20GJ003508-200359 8.787 -20.066 87 6 <6 - <6.9 -
AT20GJ003509-162750 8.788 -16.464 60 4 <6 - <10.0 -
AT20GJ003537-163459 8.905 -16.583 82 4 <6 - <10.1 -
AT20GJ003542-234018 8.929 -23.672 44 3 <6 - <13.8 -
AT20GJ003546-083554 8.943 -8.599 399 19 <6 - <1.5 -
AT20GJ003547-130511 8.949 -13.086 60 3 <6 - <10.1 -
AT20GJ003606-093229 9.029 -9.542 138 7 <7 - <5.0 -
AT20GJ003635-031816 9.149 -3.305 64 3 <6 - <9.4 -
AT20GJ003637-024004 9.157 -2.668 53 2 <6 - <11.3 -
AT20GJ003704-010907 9.268 -1.152 404 17 13 2 3.7 45
AT20GJ003714-214523 9.312 -21.757 158 10 <6 - <3.8 -
AT20GJ003725-591757 9.356 -59.299 50 3 <8 - <15.5 -
AT20GJ003728-334441 9.370 -33.745 106 5 <7 - <6.5 -
AT20GJ003735-530733 9.398 -53.126 81 4 <7 - <9.3 -
AT20GJ003814-611245 9.559 -61.213 68 3 <6 - <8.8 -
AT20GJ003814-245901 9.561 -24.984 1125 70 14 2 1.3 86
AT20GJ003816-012204 9.569 -1.368 113 5 <6 - <5.3 -
AT20GJ003820-020740 9.586 -2.128 885 36 <8 - <1.0 -
AT20GJ003820-032958 9.587 -3.500 95 5 <6 - <6.3 -
AT20GJ003826-385948 9.612 -38.997 96 5 <10 - <10.6 -
AT20GJ003829-212003 9.625 -21.334 112 7 <6 - <5.4 -
AT20GJ003849-011723 9.706 -1.290 52 3 <6 - <11.5 -
AT20GJ003852-012154 9.717 -1.365 75 2 <6 - <8.0 -
AT20GJ003906-094246 9.777 -9.713 157 8 <6 - <3.8 -
AT20GJ003908-222001 9.784 -22.334 49 3 <6 - <12.2 -
AT20GJ003913-025708 9.807 -2.952 62 3 <6 - <9.7 -
AT20GJ003916-185405 9.821 -18.901 105 7 <6 - <5.7 -
AT20GJ003931-111101 9.882 -11.184 186 9 <6 - <3.2 -
AT20GJ003939-094931 9.916 -9.825 72 4 <6 - <8.3 -
AT20GJ003939-130059 9.916 -13.017 68 3 <6 - <8.9 -
AT20GJ004007-590352 10.032 -59.065 174 9 <9 - <5.0 -
AT20GJ004008-122746 10.035 -12.463 108 5 <6 - <5.5 -
AT20GJ004017-324327 10.073 -32.724 314 12 <8 - <2.7 -
AT20GJ004019-023118 10.079 -2.522 96 5 <6 - <6.2 -
AT20GJ004020-004032 10.085 -0.676 89 4 <6 - <6.7 -
AT20GJ004030-322519 10.128 -32.422 193 9 10 3 5.0 47
AT20GJ004032-425311 10.135 -42.886 215 10 <7 - <3.2 -
AT20GJ004047-714559 10.200 -71.767 47 3 <7 - <14.6 -
AT20GJ004048-204339 10.201 -20.728 103 7 <6 - <5.8 -
AT20GJ004057-014633 10.241 -1.776 467 22 13 1 2.7 44
AT20GJ004126-014315 10.359 -1.721 76 4 <6 - <7.9 -
AT20GJ004201-403039 10.505 -40.511 163 7 <6 - <3.7 -
AT20GJ004208-441359 10.537 -44.233 233 10 10 2 5.1 85
AT20GJ004222-685850 10.592 -68.981 58 3 <6 - <10.3 -
AT20GJ004222-754838 10.592 -75.811 51 3 <9 - <18.1 -
AT20GJ004224-433339 10.604 -43.561 195 10 <7 - <3.5 -
AT20GJ004249-783801 10.707 -78.634 48 3 <7 - <15.6 -
AT20GJ004254-785018 10.727 -78.839 72 4 <8 - <10.8 -
AT20GJ004258-415859 10.743 -41.983 81 4 <8 - <10.4 -
AT20GJ004259-075352 10.750 -7.898 101 5 <6 - <6.2 -
AT20GJ004330-704147 10.879 -70.697 42 2 <16 - <37.3 -
AT20GJ004345-025102 10.941 -2.851 116 5 7 2 6.3 -79
AT20GJ004417-375259 11.071 -37.883 114 5 <6 - <5.3 -
AT20GJ004426-842241 11.109 -84.378 484 24 <10 - <2.0 -
AT20GJ004441-353034 11.173 -35.510 240 12 18 2 7.7 70
AT20GJ004512-370548 11.300 -37.097 246 11 <8 - <3.3 -
AT20GJ004519-231002 11.330 -23.167 61 7 <6 - <9.8 -
AT20GJ004521-544731 11.339 -54.792 62 3 <7 - <12.2 -
AT20GJ004530-390002 11.377 -39.001 72 4 <11 - <15.4 -
AT20GJ004539-224354 11.415 -22.732 114 7 <6 - <5.3 -
AT20GJ004542-484638 11.427 -48.777 119 6 <7 - <5.8 -
AT20GJ004613-420700 11.556 -42.117 363 15 22 2 7.4 -23
AT20GJ004613-263154 11.557 -26.532 119 8 <6 - <5.0 -
AT20GJ004622-420842 11.593 -42.145 139 14 22 2 17.9 -48
AT20GJ004634-554800 11.645 -55.800 47 2 <6 - <13.5 -
AT20GJ004733-251717 11.888 -25.288 608 29 <6 - <1.3 -
AT20GJ004741-753012 11.921 -75.503 171 9 <9 - <5.1 -
AT20GJ004751-825650 11.963 -82.947 108 6 <9 - <8.3 -
AT20GJ004856-223307 12.237 -22.552 68 5 <6 - <9.3 -
AT20GJ004905-552110 12.273 -55.353 89 5 <7 - <8.4 -
AT20GJ004906-642515 12.278 -64.421 94 4 <6 - <6.8 -
AT20GJ004916-445711 12.319 -44.953 336 15 <8 - <2.5 -
AT20GJ004937-705211 12.406 -70.870 115 6 <7 - <6.0 -
AT20GJ004954-100615 12.475 -10.104 97 5 <6 - <6.2 -
AT20GJ004959-573827 12.498 -57.641 1872 93 <19 - <1.0 -
AT20GJ005021-045221 12.590 -4.873 279 13 13 2 4.5 57
AT20GJ005025-120118 12.608 -12.022 70 3 <6 - <10.3 -
AT20GJ005026-304002 12.612 -30.667 91 4 <8 - <8.9 -
AT20GJ005040-254122 12.670 -25.690 83 5 <6 - <7.3 -
AT20GJ005041-092905 12.672 -9.485 511 24 9 3 1.8 26
AT20GJ005050-514822 12.711 -51.806 48 2 <6 - <13.0 -
AT20GJ005052-442838 12.717 -44.477 51 2 <6 - <11.9 -
AT20GJ005108-065004 12.784 -6.834 1281 62 33 3 2.6 1
AT20GJ005109-422632 12.790 -42.442 1462 72 27 3 1.8 -16
AT20GJ005134-110339 12.895 -11.061 91 5 <7 - <7.6 -
AT20GJ005140-105258 12.920 -10.883 118 6 <7 - <5.6 -
AT20GJ005213-430628 13.058 -43.108 194 6 11 3 9.4 -9
AT20GJ005215-161715 13.063 -16.288 63 4 <7 - <11.9 -
AT20GJ005222-382950 13.095 -38.497 56 2 <6 - <11.2 -
AT20GJ005243-494732 13.182 -49.792 76 4 <6 - <7.9 -
AT20GJ005252-282553 13.218 -28.432 67 4 <7 - <10.4 -
AT20GJ005336-072730 13.402 -7.458 81 4 <6 - <7.4 -
AT20GJ005406-753405 13.526 -75.568 219 11 <9 - <4.0 -
AT20GJ005408-033356 13.536 -3.566 119 6 <7 - <6.0 -
AT20GJ005427-341949 13.616 -34.330 110 4 <8 - <7.6 -
AT20GJ005432-195300 13.637 -19.884 160 10 <6 - <3.8 -
AT20GJ005452-043704 13.719 -4.618 49 3 <7 - <14.8 -
AT20GJ005511-121757 13.799 -12.299 221 11 9 2 3.8 44
AT20GJ005520-581220 13.835 -58.206 69 4 <7 - <9.6 -
AT20GJ005533-214822 13.891 -21.806 47 3 <6 - <12.9 -
AT20GJ005611-710707 14.047 -71.119 45 2 <7 - <16.1 -
AT20GJ005619-810726 14.080 -81.124 124 6 <7 - <5.6 -
AT20GJ005620-093631 14.084 -9.609 78 4 <7 - <8.8 -
AT20GJ005632-211707 14.134 -21.285 91 6 <6 - <6.6 -
AT20GJ005645-445102 14.191 -44.851 219 10 8 2 3.5 -19
AT20GJ005705-521418 14.273 -52.238 97 5 <7 - <7.4 -
AT20GJ005716-704046 14.317 -70.680 121 6 <8 - <6.9 -
AT20GJ005717-002433 14.322 -0.409 208 10 <6 - <2.9 -
AT20GJ005719-221236 14.332 -22.210 74 5 <6 - <8.1 -
AT20GJ005734-012328 14.395 -1.391 55 2 <6 - <11.5 -
AT20GJ005742-095423 14.425 -9.906 69 4 <6 - <8.7 -
AT20GJ005802-323420 14.509 -32.572 327 14 37 3 11.4 -40
AT20GJ005805-053952 14.521 -5.665 669 31 14 2 2.1 85
AT20GJ005815-334757 14.565 -33.799 174 8 10 3 5.6 -88
AT20GJ005844-593143 14.687 -59.529 50 3 <6 - <12.0 -
AT20GJ005846-565911 14.694 -56.986 842 42 11 3 1.2 -70
AT20GJ005855-521926 14.733 -52.324 170 9 <7 - <4.1 -
AT20GJ005920-612647 14.834 -61.446 70 4 <6 - <8.5 -
AT20GJ010010-174855 15.043 -17.815 84 6 <8 - <9.6 -
AT20GJ010114-623306 15.312 -62.552 184 9 <6 - <3.3 -
AT20GJ010152-283120 15.469 -28.522 108 7 <6 - <5.6 -
AT20GJ010210-563704 15.543 -56.618 204 10 10 3 4.8 -43
AT20GJ010215-801239 15.563 -80.211 773 38 20 3 2.6 -33
AT20GJ010218-754652 15.578 -75.781 712 35 <8 - <1.1 -
AT20GJ010220-113043 15.587 -11.512 58 3 <6 - <10.3 -
AT20GJ010249-795604 15.706 -79.935 113 6 <9 - <8.0 -
AT20GJ010253-840343 15.721 -84.062 56 3 <8 - <15.1 -
AT20GJ010256-264636 15.735 -26.777 186 12 <6 - <3.2 -
AT20GJ010306-510907 15.778 -51.152 82 4 <8 - <9.8 -
AT20GJ010326-454901 15.859 -45.817 186 9 <6 - <3.2 -
AT20GJ010329-513551 15.874 -51.598 87 4 <6 - <6.9 -
AT20GJ010333-643907 15.890 -64.652 323 16 <6 - <1.9 -
AT20GJ010346-412025 15.942 -41.340 84 4 <6 - <7.2 -
AT20GJ010350-635101 15.958 -63.850 61 3 <6 - <9.8 -
AT20GJ010407-565712 16.031 -56.953 40 2 <6 - <15.0 -
AT20GJ010422-123519 16.093 -12.589 152 7 <8 - <6.2 -
AT20GJ010453-115602 16.222 -11.934 86 5 <6 - <7.0 -
AT20GJ010458-241628 16.243 -24.275 396 25 <6 - <1.5 -
AT20GJ010509-381048 16.288 -38.180 53 3 <6 - <11.3 -
AT20GJ010527-182846 16.363 -18.480 45 3 <13 - <28.0 -
AT20GJ010613-504421 16.555 -50.739 47 2 <6 - <12.7 -
AT20GJ010623-015537 16.596 -1.927 261 13 11 2 4.3 -1
AT20GJ010626-271812 16.609 -27.303 465 31 11 1 2.4 -59
AT20GJ010633-463836 16.638 -46.643 47 3 <7 - <16.0 -
AT20GJ010633-262255 16.641 -26.382 128 9 <6 - <4.7 -
AT20GJ010643-031536 16.680 -3.260 266 13 <7 - <2.8 -
AT20GJ010643-103412 16.683 -10.570 51 3 <6 - <11.8 -
AT20GJ010645-403419 16.688 -40.572 2146 106 49 2 2.3 52
AT20GJ010645-235805 16.691 -23.968 80 5 <6 - <7.5 -
AT20GJ010655-483129 16.732 -48.525 84 4 <6 - <7.1 -
AT20GJ010711-121123 16.799 -12.190 53 3 <7 - <12.4 -
AT20GJ010818-160432 17.079 -16.076 86 5 <7 - <10.3 -
AT20GJ010819-215738 17.083 -21.961 70 5 <8 - <11.1 -
AT20GJ010826-003723 17.112 -0.623 413 20 11 2 2.8 83
AT20GJ010837-285128 17.158 -28.858 61 4 <6 - <9.9 -
AT20GJ010912-652306 17.302 -65.385 51 3 <6 - <11.8 -
AT20GJ010915-604948 17.314 -60.830 460 23 27 1 5.9 -12
AT20GJ010917-385457 17.324 -38.916 74 4 <8 - <11.0 -
AT20GJ011013-021952 17.555 -2.331 70 4 <8 - <12.0 -
AT20GJ011016-631555 17.569 -63.266 206 9 <6 - <2.9 -
AT20GJ011030-041530 17.629 -4.259 129 6 <8 - <6.5 -
AT20GJ011035-164827 17.648 -16.808 84 6 <12 - <14.4 -
AT20GJ011049-731428 17.707 -73.241 74 4 <9 - <12.5 -
AT20GJ011050-074141 17.708 -7.695 439 21 11 3 2.4 39
AT20GJ011102-474911 17.762 -47.820 83 4 <6 - <7.2 -
AT20GJ011132-730209 17.884 -73.036 74 4 <7 - <9.7 -
AT20GJ011143-690016 17.931 -69.004 54 3 8 2 15.5 53
AT20GJ011150-805851 17.962 -80.981 83 5 <8 - <9.7 -
AT20GJ011156-131700 17.987 -13.283 449 22 21 2 4.7 -5
AT20GJ011219-663445 18.079 -66.579 362 18 <6 - <1.7 -
AT20GJ011239-032841 18.163 -3.478 405 20 <6 - <1.6 -
AT20GJ011302-062425 18.259 -6.407 97 4 <6 - <6.2 -
AT20GJ011311-675303 18.298 -67.884 251 13 <6 - <2.4 -
AT20GJ011312-101420 18.300 -10.239 114 6 <6 - <5.5 -
AT20GJ011315-355149 18.316 -35.864 261 13 <8 - <3.1 -
AT20GJ011316-063051 18.318 -6.514 158 8 13 2 8.0 69
AT20GJ011323-532949 18.347 -53.497 117 6 <8 - <7.2 -
AT20GJ011342-252359 18.428 -25.400 104 7 <6 - <5.8 -
AT20GJ011410-044230 18.544 -4.708 85 4 <7 - <8.2 -
AT20GJ011438-395017 18.660 -39.838 60 3 <6 - <10.1 -
AT20GJ011457-241944 18.739 -24.329 145 10 <6 - <4.1 -
AT20GJ011508-304701 18.785 -30.784 85 4 <6 - <7.1 -
AT20GJ011517-012704 18.821 -1.451 742 37 9 3 1.2 46
AT20GJ011523-280454 18.849 -28.082 290 19 9 1 3.2 -35
AT20GJ011539-281712 18.916 -28.287 49 3 <6 - <12.3 -
AT20GJ011546-304919 18.943 -30.822 472 24 <8 - <1.7 -
AT20GJ011547-085755 18.948 -8.966 66 2 <6 - <9.1 -
AT20GJ011612-113614 19.052 -11.604 972 48 <10 - <1.0 -
AT20GJ011618-340446 19.079 -34.080 62 3 <6 - <9.6 -
AT20GJ011623-790555 19.098 -79.099 251 13 <8 - <3.1 -
AT20GJ011651-205206 19.214 -20.868 240 16 13 2 5.2 6
AT20GJ011657-652158 19.238 -65.366 77 4 <6 - <7.8 -
AT20GJ011727-042509 19.366 -4.419 152 8 <6 - <4.0 -
AT20GJ011744-335706 19.435 -33.952 112 5 <7 - <6.2 -
AT20GJ011748-211107 19.453 -21.185 749 49 9 2 1.3 42
AT20GJ011806-235155 19.526 -23.865 137 9 <6 - <4.4 -
AT20GJ011809-405938 19.540 -40.994 118 6 <7 - <5.6 -
AT20GJ011815-012030 19.564 -1.342 49 3 <7 - <14.6 -
AT20GJ011815-255148 19.566 -25.863 94 4 <6 - <9.7 -
AT20GJ011816-695148 19.567 -69.863 61 3 <7 - <10.7 -
AT20GJ011834-184917 19.643 -18.821 151 10 <6 - <4.0 -
AT20GJ011844-085058 19.684 -8.849 157 8 <7 - <4.4 -
AT20GJ011845-410230 19.689 -41.042 172 8 <6 - <3.7 -
AT20GJ011853-420328 19.723 -42.058 96 5 <6 - <6.2 -
AT20GJ011857-214130 19.739 -21.692 885 57 25 2 2.8 56
AT20GJ011941-680934 19.923 -68.160 103 4 <6 - <6.7 -
AT20GJ011943-165409 19.932 -16.903 120 8 <7 - <5.5 -
AT20GJ011950-535717 19.960 -53.955 245 12 <8 - <3.3 -
AT20GJ012008-521102 20.035 -52.184 59 3 <6 - <10.2 -
AT20GJ012014-062647 20.058 -6.447 82 4 <6 - <7.3 -
AT20GJ012027-152015 20.114 -15.338 275 12 18 2 9.8 -64
AT20GJ012031-270124 20.132 -27.023 618 40 31 1 5.1 -8
AT20GJ012100-001518 20.253 -0.255 80 4 <6 - <7.5 -
AT20GJ012100-280622 20.253 -28.106 138 9 <6 - <4.3 -
AT20GJ012110-560220 20.294 -56.039 50 3 <7 - <14.9 -
AT20GJ012140-630903 20.418 -63.151 54 3 <6 - <11.1 -
AT20GJ012213-001800 20.558 -0.300 325 16 <6 - <1.8 -
AT20GJ012217-005615 20.573 -0.938 165 8 <7 - <4.5 -
AT20GJ012227-042126 20.616 -4.357 245 12 <7 - <2.9 -
AT20GJ012248-093546 20.700 -9.596 75 4 <6 - <8.1 -
AT20GJ012249-264903 20.704 -26.818 91 6 <6 - <6.6 -
AT20GJ012251-453334 20.713 -45.560 54 3 <6 - <11.1 -
AT20GJ012253-073335 20.724 -7.560 44 2 <6 - <13.6 -
AT20GJ012335-034838 20.899 -3.811 236 11 <6 - <2.7 -
AT20GJ012340-104901 20.920 -10.817 134 7 <8 - <5.8 -
AT20GJ012346-092304 20.943 -9.385 89 5 <6 - <6.7 -
AT20GJ012348-462320 20.953 -46.389 147 7 <7 - <5.1 -
AT20GJ012407-730904 21.033 -73.151 92 5 <7 - <8.1 -
AT20GJ012434-040103 21.145 -4.018 89 4 <6 - <7.7 -
AT20GJ012444-251720 21.186 -25.289 71 5 <6 - <8.5 -
